Comment,Designator,Footprint,LCSC Part #(optional)
100nF,"C1,C2,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C29",0805@1,C49678
47uF,"C27",C1210,C77101
STM32F072C8T6,"IC1",TQFP48,C80488
REG1117,"IC2",SOT223,C6186
74AHCT1G08DBV,"IC3",SOT23-5,C113521
WS2812B-MINI,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15",WS2812B-MINI,C114583
5.1K,"R1,R9",0805,C27834
10K,"R2,R4,R5",0805,C17414
TF-HOLDER,"SD1",TF-PULL,C111196
324_SW324_SWITCH_FOOT_HOLE,"SW1,SW2,SW3,SW4",342_SWICH_FOOT_HOLE,C115360
USBC_16P,"U2",USBC_16P_FOOT,C393939
