Designator,Mid X,Mid Y,Layer,Rotation
C1,59.233mm,61.341mm,Top,90
C2,65.253mm,58.166mm,Top,90
C9,69.418mm,70.002mm,Top,180
C10,59.944mm,72.390mm,Top,270
C11,29.000mm,37.008mm,Top,180
C12,48.000mm,37.008mm,Top,180
C13,10.000mm,18.008mm,Top,0
C14,29.000mm,18.008mm,Top,0
C15,48.000mm,18.008mm,Top,0
C16,10.000mm,94.008mm,Top,0
C17,29.000mm,94.008mm,Top,0
C18,48.000mm,94.008mm,Top,0
C19,10.000mm,75.008mm,Top,180
C20,29.000mm,75.008mm,Top,180
C21,48.000mm,75.008mm,Top,180
C22,10.000mm,56.008mm,Top,0
C23,29.000mm,56.008mm,Top,0
C24,48.000mm,56.008mm,Top,0
C25,10.000mm,37.008mm,Top,180
C27,82.931mm,83.312mm,Top,90
C29,72.517mm,85.014mm,Top,90
IC1,64.000mm,66.000mm,Top,0
IC2,77.281mm,84.955mm,Top,90
IC3,59.563mm,89.464mm,Top,270
LED1,10.000mm,91.000mm,Top,180
LED2,29.000mm,91.000mm,Top,180
LED3,48.000mm,91.000mm,Top,180
LED4,10.000mm,72.000mm,Top,0
LED5,29.000mm,72.000mm,Top,0
LED6,48.000mm,72.000mm,Top,0
LED7,10.000mm,53.000mm,Top,180
LED8,29.000mm,53.000mm,Top,180
LED9,48.000mm,53.000mm,Top,180
LED10,10.000mm,34.000mm,Top,0
LED11,29.000mm,34.000mm,Top,0
LED12,48.000mm,34.000mm,Top,0
LED13,10.000mm,15.000mm,Top,180
LED14,29.000mm,15.000mm,Top,180
LED15,48.000mm,15.000mm,Top,180
R1,76.200mm,91.567mm,Top,90
R2,60.706mm,55.499mm,Top,0
R4,65.786mm,55.499mm,Top,0
R5,56.718mm,87.274mm,Top,90
R9,74.168mm,91.567mm,Top,90
SD1,77.862mm,70.323mm,Top,270
SW1,60.706mm,51.562mm,Top,270
SW2,65.786mm,51.562mm,Top,270
SW3,65.000mm,9.500mm,Top,0
SW4,80.000mm,9.500mm,Top,0
U2,67.869mm,88.304mm,Top,180
